date,opponent,outcome,minutes,points,assists,turnovers,rebounds,steals,blocks,fouls
2016-11-11,TULANE,W 95-75,30,23,4,1,6,2,0,3
2016-11-13,CHATTANOOGA,W 97-57,28,18,5,1,4,1,0,2
2016-11-15,LONG BEACH ST,W 93-67,21,23,4,2,6,1,0,3
2016-11-19,HAWAI'I,W 83-68,29,2,6,4,2,1,0,2
2016-11-21,CHAMINADE,W 104-61,23,8,4,1,4,4,0,1
2016-11-22,OKLAHOMA STATE,W 107-75,27,24,4,3,5,3,0,2
2016-11-23,#16 WISCONSIN,W 71-56,34,22,3,2,3,0,0,2
2016-11-30,#13 INDIANA,L 76-67,31,8,8,2,4,1,0,3
2016-12-04,RADFORD,W 95-50,13,5,4,3,0,1,0,0
2016-12-17,#6 KENTUCKY,L 103-100,34,23,7,3,5,2,0,5
2016-12-21,NORTHERN IOWA,W 85-42,27,11,3,1,4,2,0,2
2016-12-28,MONMOUTH,W 102-74,23,6,5,0,3,0,0,2
2016-12-31,GEORGIA TECH,L 75-63,30,8,1,6,2,1,0,4
2017-01-03,CLEMSON,W 89-86(OT),41,31,3,5,5,2,0,3
2017-01-08,NC STATE,W 107-56,23,19,5,3,5,2,0,1
2017-01-11,WAKE FOREST,W 93-87,33,18,7,1,3,1,0,4
2017-01-14,#9 FLORIDA STATE,W 96-83,35,26,1,2,2,2,0,3
2017-01-16,SYRACUSE,W 85-68,31,10,1,2,1,1,0,2
2017-01-21,BOSTON COLLEGE,W 90-82,35,9,0,2,0,1,1,1
2017-01-26,VIRGINIA TECH,W 91-72,30,15,4,0,3,1,1,2
2017-01-28,MIAMI,L 77-62,30,2,4,2,1,1,0,3
2017-01-31,PITT,W 80-78,37,19,3,2,1,0,0,1
2017-02-05,#20 NOTRE DAME,W 83-76,33,12,7,4,5,3,0,3
2017-02-09,#18 DUKE,L 86-78,32,15,2,1,3,2,0,2
2017-02-15,NC STATE,W 97-73,31,18,6,1,3,3,0,1
2017-02-18,#14 UVA,W 65-41,28,5,3,3,3,1,0,2
2017-02-22,#7 LOUISVILLE,W 74-63,35,15,3,0,4,1,1,2
2017-02-25,PITT,W 85-67,32,19,2,0,4,0,1,2
2017-02-27,#23 UVA,L 53-43,34,12,2,1,5,0,0,1
2017-03-04,#17 DUKE,W 90-83,36,28,1,1,2,2,0,3
2017-03-09,MIAMI,W 78-53,29,11,5,2,4,3,0,2
2017-03-10,#14 DUKE,L 93-83,24,10,2,1,2,0,0,4
2017-03-17,(16) TEXAS SOUTHERN,W 103-64,22,3,3,0,1,0,0,0
2017-03-19,(8) ARKANSAS,W 72-65,34,10,3,1,2,2,0,1
2017-03-24,(4) BUTLER,W 92-80,35,26,2,2,1,1,0,2
2017-03-26,(2) KENTUCKY,W 75-73,33,11,3,4,4,2,0,3
2017-04-01,(3) OREGON,W 77-76,35,11,2,2,3,1,0,2
2017-04-03,(1) GONZAGA,W 71-65,37,22,6,1,3,2,1,3
