date,precipitation,snow,tempHigh,tempLow
2016-08-15,0,0,96,75
2016-08-16,0,0,95,75
2016-08-17,0,0,97,75
2016-08-18,0,0,93,74
2016-08-19,0.38,0,91,75
2016-08-20,0,0,91,74
2016-08-21,0,0,94,74
2016-08-22,0,0,87,67
2016-08-23,0,0,89,65
2016-08-24,0,0,87,64
2016-08-25,0,0,92,65
2016-08-26,0,0,99,72
2016-08-27,0.18,0,98,75
2016-08-28,0,0,90,71
2016-08-29,0,0,90,69
2016-08-30,0,0,92,67
2016-08-31,0,0,95,71
2016-09-01,0.01,0,94,71
2016-09-02,1.13,0,75,64
2016-09-03,0.44,0,81,64
2016-09-04,0,0,83,61
2016-09-05,0,0,84,58
2016-09-06,0,0,91,61
2016-09-07,0,0,94,67
2016-09-08,0,0,96,68
2016-09-09,0,0,94,71
2016-09-10,0,0,92,74
2016-09-11,0,0,91,72
2016-09-12,0,0,88,69
2016-09-13,0,0,91,64
2016-09-14,0,0,91,66
2016-09-15,0,0,90,66
2016-09-16,0,0,83,68
2016-09-17,0,0,89,66
2016-09-18,0.06,0,90,71
2016-09-19,1.3,0,79,71
2016-09-20,0.02,0,75,71
2016-09-21,0.49,0,75,70
2016-09-22,0.23,0,83,71
2016-09-23,0,0,85,67
2016-09-24,0,0,92,64
2016-09-25,0,0,74,69
2016-09-26,0.02,0,76,65
2016-09-27,0,0,80,67
2016-09-28,0.45,0,86,66
2016-09-29,0.32,0,79,65
2016-09-30,0.14,0,83,71
2016-10-01,0,0,84,66
2016-10-02,0,0,79,62
2016-10-03,0,0,79,62
2016-10-04,0,0,76,62
2016-10-05,0,0,72,60
2016-10-06,0.02,0,72,59
2016-10-07,0.36,0,74,65
2016-10-08,6.45,0,70,63
2016-10-09,0.13,0,73,52
2016-10-10,0,0,68,45
2016-10-11,0,0,68,43
2016-10-12,0,0,73,48
2016-10-13,0,0,79,48
2016-10-14,0,0,70,53
2016-10-15,0,0,72,52
2016-10-16,0,0,78,51
2016-10-17,0,0,82,57
2016-10-18,0,0,84,60
2016-10-19,0,0,88,62
2016-10-20,0,0,86,61
2016-10-21,0,0,78,56
2016-10-22,0,0,64,42
2016-10-23,0,0,70,40
2016-10-24,0,0,78,47
2016-10-25,0,0,66,44
2016-10-26,0,0,68,39
2016-10-27,0.14,0,75,47
2016-10-28,0,0,74,54
2016-10-29,0,0,78,48
2016-10-30,0,0,84,56
2016-10-31,0,0,71,54
2016-11-01,0,0,64,52
2016-11-02,0,0,79,50
2016-11-03,0.01,0,83,56
2016-11-04,0.07,0,69,45
2016-11-05,0,0,65,38
2016-11-06,0,0,71,37
2016-11-07,0,0,64,38
2016-11-08,0,0,67,33
2016-11-09,0,0,67,47
2016-11-10,0,0,65,37
2016-11-11,0,0,70,36
2016-11-12,0,0,55,30
2016-11-13,0.06,0,64,24
2016-11-14,0.27,0,54,44
2016-11-15,0,0,64,37
2016-11-16,0,0,69,35
2016-11-17,0,0,69,37
2016-11-18,0,0,76,39
2016-11-19,0,0,77,42
2016-11-20,0,0,53,31
2016-11-21,0,0,54,27
2016-11-22,0,0,58,27
2016-11-23,0,0,62,28
2016-11-24,0.06,0,72,47
2016-11-25,0,0,74,52
2016-11-26,0,0,58,32
2016-11-27,0,0,56,27
2016-11-28,0,0,59,31
2016-11-29,0.06,0,72,58
2016-11-30,0.07,0,77,65
2016-12-01,0,0,68,46
2016-12-02,0,0,58,33
2016-12-03,0,0,54,33
2016-12-04,0.32,0,47,41
2016-12-05,0.41,0,59,42
2016-12-06,0.56,0,49,43
2016-12-07,0,0,60,37
2016-12-08,0,0,52,38
2016-12-09,0,0,41,27
2016-12-10,0,0,45,20
2016-12-11,0,0,46,23
2016-12-12,0.03,0,62,37
2016-12-13,0,0,55,38
2016-12-14,0,0,52,34
2016-12-15,0,0,41,24
