date,precipitation,snow,tempHigh,tempLow
1985-02-28,0,0,55,32
1985-03-01,0,0,60,30
1985-03-02,0,0,66,41
1985-03-03,0,0,61,42
1985-03-04,0,0,70,45
1985-03-05,0,0,75,53
1985-03-06,0,0,53,35
1985-03-07,0,0,58,26
1985-03-08,0,0,74,41
1985-03-09,0,0,64,43
1985-03-10,0,0,65,31
1985-03-11,0,0,60,33
1985-03-12,0,0,77,45
1985-03-13,0,0,72,35
1985-03-14,0,0,72,49
1985-03-15,0,0,60,33
1985-03-16,0,0,61,31
1985-03-17,0.01,0,63,44
1985-03-18,0,0,48,34
1985-03-19,0,0,57,21
1985-03-20,0,0,71,35
1985-03-21,0.07,0,56,36
1985-03-22,0.49,0,44,34
1985-03-23,0,0,62,39
1985-03-24,0.41,0,57,44
1985-03-25,0.05,0,56,36
1985-03-26,0,0,63,29
1985-03-27,0,0,74,44
1985-03-28,0,0,83,54
1985-03-29,0,0,87,61
1985-03-30,0,0,87,56
1985-03-31,0,0,81,48
1985-04-01,0,0,69,50
1985-04-02,0,0,59,34
1985-04-03,0,0,73,31
1985-04-04,0,0,85,43
1985-04-05,0,0,80,58
1985-04-06,0.06,0,70,52
1985-04-07,0,0,77,45
1985-04-08,0,0,59,34
1985-04-09,0,0,50,33
1985-04-10,0,0,54,23
1985-04-11,0,0,74,39
1985-04-12,0,0,80,45
1985-04-13,0.03,0,77,52
1985-04-14,0.07,0,64,57
1985-04-15,0,0,69,57
1985-04-16,0.48,0,73,54
1985-04-17,0,0,71,50
1985-04-18,0,0,80,40
1985-04-19,0,0,89,52
1985-04-20,0,0,90,57
1985-04-21,0,0,90,54
1985-04-22,0,0,92,55
1985-04-23,0,0,88,59
1985-04-24,0,0,84,57
1985-04-25,0,0,80,52
1985-04-26,0,0,85,47
1985-04-27,0,0,83,59
1985-04-28,0,0,83,61
1985-04-29,0,0,72,51
1985-04-30,0,0,78,42
1985-05-01,0,0,82,52
1985-05-02,0.26,0,76,61
1985-05-03,1.15,0,64,44
1985-05-04,0,0,70,39
1985-05-05,0,0,77,45
1985-05-06,0,0,84,53
1985-05-07,0,0,84,58
1985-05-08,0,0,69,54
1985-05-09,0,0,69,51
1985-05-10,0,0,80,62
1985-05-11,0.01,0,79,63
1985-05-12,0.51,0,77,60
1985-05-13,0,0,84,62
1985-05-14,0,0,89,62
1985-05-15,0,0,82,62
1985-05-16,0.82,0,76,61
1985-05-17,0.01,0,75,56
1985-05-18,0,0,74,53
1985-05-19,0,0,80,47
1985-05-20,0,0,85,57
1985-05-21,0.08,0,84,62
1985-05-22,1.04,0,81,60
1985-05-23,0.05,0,81,60
1985-05-24,0.01,0,61,55
1985-05-25,0.01,0,77,52
1985-05-26,0,0,83,52
1985-05-27,0,0,86,56
1985-05-28,0,0,86,62
1985-05-29,0,0,77,61
1985-05-30,0,0,77,59
1985-05-31,0,0,85,59
1985-06-01,0,0,91,68
1985-06-02,0,0,88,61
1985-06-03,0,0,88,62
1985-06-04,0,0,91,64
1985-06-05,0.04,0,93,68
1985-06-06,0.04,0,83,66
1985-06-07,0.15,0,77,66
1985-06-08,0.01,0,83,63
1985-06-09,0,0,90,63
1985-06-10,0,0,94,70
1985-06-11,0,0,91,71
1985-06-12,0.2,0,85,62
1985-06-13,0,0,75,52
1985-06-14,0,0,78,46
1985-06-15,0.08,0,84,58
1985-06-16,0.19,0,81,65
1985-06-17,0,0,88,64
1985-06-18,1.26,0,88,68
1985-06-19,0.31,0,83,66
1985-06-20,0,0,82,59
1985-06-21,0,0,84,57
1985-06-22,0,0,85,62
1985-06-23,0,0,86,64
1985-06-24,0,0,91,67
1985-06-25,0,0,87,67
1985-06-26,0,0,86,65
1985-06-27,0,0,77,53
1985-06-28,0,0,82,56
1985-06-29,0.21,0,84,63
1985-06-30,0.38,0,73,67
1985-07-01,0.93,0,68,65
1985-07-02,0.04,0,82,66
1985-07-03,0,0,86,61
1985-07-04,0,0,89,65
1985-07-05,0,0,85,67
1985-07-06,0.34,0,84,68
1985-07-07,0.01,0,87,67
1985-07-08,0,0,90,63
1985-07-09,0,0,91,67
1985-07-10,0.71,0,95,67
1985-07-11,0,0,89,68
1985-07-12,0,0,90,68
1985-07-13,0.41,0,92,66
1985-07-14,0,0,86,67
1985-07-15,0,0,91,68
1985-07-16,0.37,0,91,69
1985-07-17,0,0,82,70
1985-07-18,0,0,86,66
1985-07-19,0,0,89,62
1985-07-20,0,0,92,69
1985-07-21,0.68,0,93,72
1985-07-22,0.18,0,90,71
1985-07-23,0,0,77,69
1985-07-24,0.16,0,81,69
1985-07-25,1.76,0,80,68
1985-07-26,0.14,0,86,71
1985-07-27,0.42,0,78,69
1985-07-28,0,0,78,69
1985-07-29,0.1,0,79,70
1985-07-30,0,0,87,71
1985-07-31,0.03,0,89,71
1985-08-01,0.18,0,88,66
1985-08-02,0,0,79,64
1985-08-03,0,0,79,58
1985-08-04,0,0,80,55
1985-08-05,0,0,81,58
1985-08-06,0,0,82,66
1985-08-07,0.02,0,87,66
1985-08-08,0.01,0,80,69
1985-08-09,0,0,86,69
1985-08-10,0,0,87,70
1985-08-11,0,0,89,67
1985-08-12,0,0,91,68
1985-08-13,0,0,92,70
1985-08-14,0,0,91,70
1985-08-15,0,0,89,68
1985-08-16,0.53,0,91,69
1985-08-17,0.78,0,76,68
1985-08-18,1.18,0,85,69
1985-08-19,0.01,0,86,68
1985-08-20,0,0,87,66
1985-08-21,0.08,0,82,68
1985-08-22,0,0,80,64
1985-08-23,0,0,79,59
1985-08-24,0.18,0,79,60
1985-08-25,0.46,0,85,67
1985-08-26,0.26,0,85,68
1985-08-27,0,0,86,67
1985-08-28,0,0,84,66
1985-08-29,0,0,88,64
1985-08-30,0.04,0,85,67
1985-08-31,0,0,83,64
1985-09-01,0,0,83,65
1985-09-02,0,0,86,63
1985-09-03,0,0,89,66
1985-09-04,0,0,90,69
1985-09-05,0,0,90,69
1985-09-06,0,0,91,69
1985-09-07,0,0,90,68
1985-09-08,0,0,92,69
1985-09-09,0,0,91,69
1985-09-10,0,0,93,71
1985-09-11,0,0,84,68
1985-09-12,0.02,0,71,59
1985-09-13,0,0,68,48
1985-09-14,0,0,70,42
1985-09-15,0,0,73,44
